Time(s)	Acc.(g)			
2.56	-1.76E-01			
2.57	-1.78E-01			
2.58	-1.78E-01			
2.59	-1.78E-01			
2.6	-1.79E-01			
2.61	-1.82E-01			
2.62	-1.84E-01			
2.63	-1.79E-01			
2.64	-1.66E-01			
2.65	-1.51E-01			
2.66	-1.37E-01			
2.67	-1.25E-01			
2.68	-1.11E-01			
2.69	-9.48E-02			
2.7	-7.96E-02			
2.71	-6.39E-02			
2.72	-4.39E-02			
2.73	-2.14E-02			
2.74	-1.53E-03			
2.75	1.60E-02			
2.76	3.65E-02			
2.77	5.98E-02			
2.78	8.02E-02			
2.79	9.78E-02			
2.8	1.19E-01			
2.81	1.43E-01			
2.82	1.63E-01			
2.83	1.79E-01			
2.84	2.00E-01			
2.85	2.25E-01			
2.86	2.46E-01			
2.87	2.61E-01			
2.88	2.78E-01			
2.89	2.99E-01			
2.9	3.10E-01			
2.91	3.13E-01			
2.92	3.26E-01			
2.93	3.49E-01			
2.94	3.49E-01			
2.95	3.16E-01			
2.96	2.88E-01			
2.97	2.82E-01			
2.98	2.37E-01			
2.99	8.60E-02			
3	-1.22E-01			
3.01	-2.51E-01			
3.02	-2.42E-01			
3.03	-1.80E-01			
3.04	-1.67E-01			
3.05	-1.93E-01			
3.06	-1.90E-01			
3.07	-1.48E-01			
3.08	-1.12E-01			
3.09	-9.72E-02			
3.1	-7.68E-02			
3.11	-4.27E-02			
3.12	-1.76E-02			
3.13	-5.92E-03			
3.14	1.15E-02			
3.15	3.68E-02			
3.16	5.43E-02			
3.17	6.78E-02			
3.18	9.12E-02			
3.19	1.14E-01			
3.2	1.21E-01			
3.21	1.37E-01			
3.22	1.79E-01			
3.23	1.81E-01			
3.24	5.87E-02			
3.25	-1.44E-01			
3.26	-2.68E-01			
3.27	-2.40E-01			
3.28	-1.58E-01			
3.29	-1.44E-01			
3.3	-1.76E-01			
3.31	-1.64E-01			
3.32	-1.03E-01			
3.33	-6.52E-02			
3.34	-5.90E-02			
3.35	-2.87E-02			
3.36	2.42E-02			
3.37	2.11E-02			
3.38	-6.83E-02			
3.39	-1.69E-01			
3.4	-2.02E-01			
3.41	-1.82E-01			
3.42	-1.67E-01			
3.43	-1.71E-01			
3.44	-1.72E-01			
3.45	-1.61E-01			
3.46	-1.51E-01			
3.47	-1.41E-01			
3.48	-1.25E-01			
3.49	-1.11E-01			
3.5	-1.02E-01			
3.51	-9.28E-02			
3.52	-7.65E-02			
3.53	-6.15E-02			
3.54	-5.34E-02			
3.55	-4.37E-02			
3.56	-2.75E-02			
3.57	-1.33E-02			
3.58	-4.52E-03			
3.59	7.02E-03			
3.6	1.92E-02			
3.61	1.47E-02			
3.62	-9.71E-03			
3.63	-3.30E-02			
3.64	-4.40E-02			
3.65	-5.86E-02			
3.66	-8.55E-02			
3.67	-1.04E-01			
3.68	-9.69E-02			
3.69	-7.91E-02			
3.7	-7.31E-02			
3.71	-7.26E-02			
3.72	-6.10E-02			
3.73	-4.34E-02			
3.74	-3.41E-02			
3.75	-2.77E-02			
3.76	-1.09E-02			
3.77	9.40E-03			
3.78	1.87E-02			
3.79	2.41E-02			
3.8	4.29E-02			
3.81	6.74E-02			
3.82	6.85E-02			
3.83	3.55E-02			
3.84	-9.77E-03			
3.85	-3.79E-02			
3.86	-3.80E-02			
3.87	-2.04E-02			
3.88	-3.97E-03			
3.89	3.66E-04			
3.9	9.77E-04			
3.91	1.31E-02			
3.92	3.52E-02			
3.93	5.08E-02			
3.94	5.75E-02			
3.95	6.97E-02			
3.96	9.01E-02			
3.97	1.05E-01			
3.98	1.15E-01			
3.99	1.32E-01			
4	1.39E-01			
4.01	9.81E-02			
4.02	2.22E-02			
4.03	-1.38E-02			
4.04	2.47E-02			
4.05	7.43E-02			
4.06	6.95E-02			
4.07	4.52E-02			
4.08	7.03E-02			
4.09	1.24E-01			
4.1	1.34E-01			
4.11	1.12E-01			
4.12	1.38E-01			
4.13	2.09E-01			
4.14	2.08E-01			
4.15	7.34E-02			
4.16	-9.48E-02			
4.17	-1.66E-01			
4.18	-1.33E-01			
4.19	-8.60E-02			
4.2	-7.04E-02			
4.21	-6.72E-02			
4.22	-5.58E-02			
4.23	-3.33E-02			
4.24	7.45E-03			
4.25	5.84E-02			
4.26	6.86E-02			
4.27	-1.10E-03			
4.28	-1.09E-01			
4.29	-1.68E-01			
4.3	-1.52E-01			
4.31	-1.16E-01			
4.32	-1.09E-01			
4.33	-1.21E-01			
4.34	-1.19E-01			
4.35	-9.86E-02			
4.36	-7.76E-02			
4.37	-6.52E-02			
4.38	-5.72E-02			
4.39	-4.38E-02			
4.4	-2.17E-02			
4.41	-4.27E-03			
4.42	-1.29E-02			
4.43	-4.57E-02			
4.44	-6.85E-02			
4.45	-5.77E-02			
4.46	-3.32E-02			
4.47	-2.67E-02			
4.48	-3.42E-02			
4.49	-2.95E-02			
4.5	-1.12E-02			
4.51	2.07E-07			
4.52	1.89E-03			
4.53	1.13E-02			
4.54	3.03E-02			
4.55	4.40E-02			
4.56	4.99E-02			
4.57	5.75E-02			
4.58	6.18E-02			
4.59	4.84E-02			
4.6	2.28E-02			
4.61	5.01E-03			
4.62	-3.42E-03			
4.63	-1.51E-02			
4.64	-2.48E-02			
4.65	-1.51E-02			
4.66	7.63E-03			
4.67	2.02E-02			
4.68	2.17E-02			
4.69	3.33E-02			
4.7	5.77E-02			
4.71	7.57E-02			
4.72	8.44E-02			
4.73	1.00E-01			
4.74	1.23E-01			
4.75	1.38E-01			
4.76	1.51E-01			
4.77	1.72E-01			
4.78	1.77E-01			
4.79	1.28E-01			
4.8	4.31E-02			
4.81	-7.39E-03			
4.82	2.75E-03			
4.83	2.70E-02			
4.84	2.66E-02			
4.85	2.09E-02			
4.86	2.96E-02			
4.87	2.67E-02			
4.88	-5.38E-03			
4.89	-3.05E-02			
4.9	-1.51E-02			
4.91	1.28E-02			
4.92	1.48E-02			
4.93	6.17E-03			
4.94	2.08E-02			
4.95	4.60E-02			
4.96	5.11E-02			
4.97	4.79E-02			
4.98	6.55E-02			
4.99	9.19E-02			
5	9.78E-02			
5.01	9.55E-02			
5.02	1.15E-01			
5.03	1.43E-01			
