Time(s)	Acc.(g)			
11.15	5.14E-02			
11.16	2.49E-02			
11.17	-9.90E-03			
11.18	-3.83E-02			
11.19	-4.26E-02			
11.2	-2.69E-02			
11.21	-1.40E-02			
11.22	-2.28E-02			
11.23	-5.31E-02			
11.24	-8.82E-02			
11.25	-1.07E-01			
11.26	-1.00E-01			
11.27	-7.78E-02			
11.28	-5.93E-02			
11.29	-4.89E-02			
11.3	-3.49E-02			
11.31	-1.23E-02			
11.32	8.55E-03			
11.33	1.87E-02			
11.34	2.57E-02			
11.35	3.91E-02			
11.36	5.25E-02			
11.37	5.15E-02			
11.38	3.61E-02			
11.39	1.93E-02			
11.4	8.91E-03			
11.41	1.59E-03			
11.42	-6.35E-03			
11.43	-1.37E-02			
11.44	-2.06E-02			
11.45	-2.83E-02			
11.46	-3.29E-02			
11.47	-2.97E-02			
11.48	-2.36E-02			
11.49	-2.62E-02			
11.5	-3.89E-02			
11.51	-5.06E-02			
11.52	-5.54E-02			
11.53	-6.14E-02			
11.54	-7.42E-02			
11.55	-8.48E-02			
11.56	-8.13E-02			
11.57	-6.69E-02			
11.58	-5.39E-02			
11.59	-4.52E-02			
11.6	-3.41E-02			
11.61	-1.75E-02			
11.62	-1.65E-03			
11.63	6.84E-03			
11.64	7.14E-03			
11.65	1.77E-03			
11.66	-4.27E-03			
11.67	-4.64E-03			
11.68	3.67E-07			
11.69	-1.59E-03			
11.7	-1.76E-02			
11.71	-3.73E-02			
11.72	-4.13E-02			
11.73	-2.64E-02			
11.74	-8.61E-03			
11.75	1.10E-03			
11.76	8.49E-03			
11.77	2.16E-02			
11.78	3.77E-02			
11.79	5.14E-02			
11.8	6.31E-02			
11.81	7.14E-02			
11.82	6.74E-02			
11.83	4.86E-02			
11.84	2.63E-02			
11.85	9.89E-03			
11.86	-6.17E-03			
11.87	-2.88E-02			
11.88	-4.79E-02			
11.89	-4.92E-02			
11.9	-3.67E-02			
11.91	-2.70E-02			
11.92	-2.44E-02			
11.93	-1.84E-02			
11.94	-5.25E-03			
11.95	6.29E-03			
11.96	1.32E-02			
11.97	2.35E-02			
11.98	3.83E-02			
11.99	4.23E-02			
12	2.49E-02			
12.01	-3.18E-03			
12.02	-2.35E-02			
12.03	-3.32E-02			
12.04	-4.33E-02			
12.05	-5.80E-02			
12.06	-6.96E-02			
12.07	-7.15E-02			
12.08	-6.70E-02			
12.09	-6.29E-02			
12.1	-6.05E-02			
12.11	-5.72E-02			
12.12	-5.20E-02			
12.13	-4.63E-02			
12.14	-4.19E-02			
12.15	-3.74E-02			
12.16	-3.12E-02			
12.17	-2.56E-02			
12.18	-2.74E-02			
12.19	-3.97E-02			
12.2	-5.48E-02			
12.21	-6.25E-02			
12.22	-6.43E-02			
12.23	-7.26E-02			
12.24	-9.23E-02			
12.25	-1.11E-01			
12.26	-1.13E-01			
12.27	-1.01E-01			
12.28	-8.96E-02			
12.29	-8.40E-02			
12.3	-7.88E-02			
12.31	-6.92E-02			
12.32	-5.90E-02			
12.33	-5.29E-02			
12.34	-4.85E-02			
12.35	-4.16E-02			
12.36	-3.37E-02			
12.37	-2.72E-02			
12.38	-2.05E-02			
12.39	-1.01E-02			
12.4	2.26E-03			
12.41	1.26E-02			
12.42	2.13E-02			
12.43	3.17E-02			
12.44	4.43E-02			
12.45	5.50E-02			
12.46	6.22E-02			
12.47	6.94E-02			
12.48	7.84E-02			
12.49	8.76E-02			
12.5	9.49E-02			
12.51	1.02E-01			
12.52	1.09E-01			
12.53	1.14E-01			
12.54	1.15E-01			
12.55	1.16E-01			
12.56	1.21E-01			
12.57	1.26E-01			
12.58	1.27E-01			
12.59	1.28E-01			
12.6	1.36E-01			
12.61	1.51E-01			
12.62	1.62E-01			
12.63	1.70E-01			
12.64	1.83E-01			
12.65	2.02E-01			
12.66	2.07E-01			
12.67	1.79E-01			
12.68	1.26E-01			
12.69	7.63E-02			
12.7	4.48E-02			
12.71	1.97E-02			
12.72	-1.40E-02			
12.73	-4.98E-02			
12.74	-6.81E-02			
12.75	-6.49E-02			
12.76	-5.64E-02			
12.77	-5.84E-02			
12.78	-7.08E-02			
12.79	-8.56E-02			
12.8	-1.00E-01			
12.81	-1.16E-01			
12.82	-1.27E-01			
12.83	-1.28E-01			
12.84	-1.20E-01			
12.85	-1.11E-01			
12.86	-1.07E-01			
12.87	-1.03E-01			
12.88	-9.36E-02			
12.89	-8.19E-02			
12.9	-7.60E-02			
12.91	-7.77E-02			
12.92	-8.23E-02			
12.93	-8.54E-02			
12.94	-8.69E-02			
12.95	-8.75E-02			
12.96	-8.74E-02			
12.97	-8.74E-02			
12.98	-8.82E-02			
12.99	-8.92E-02			
13	-8.88E-02			
13.01	-8.78E-02			
13.02	-8.87E-02			
13.03	-9.13E-02			
13.04	-9.00E-02			
13.05	-7.86E-02			
13.06	-5.50E-02			
13.07	-2.36E-02			
13.08	5.50E-03			
13.09	2.14E-02			
13.1	2.17E-02			
13.11	1.78E-02			
13.12	2.52E-02			
13.13	4.48E-02			
13.14	5.89E-02			
13.15	5.25E-02			
13.16	3.22E-02			
13.17	1.91E-02			
13.18	2.38E-02			
13.19	3.81E-02			
13.2	4.96E-02			
13.21	5.60E-02			
13.22	5.98E-02			
13.23	6.00E-02			
13.24	5.37E-02			
13.25	4.40E-02			
13.26	3.60E-02			
13.27	2.90E-02			
13.28	2.03E-02			
13.29	1.42E-02			
13.3	2.00E-02			
13.31	3.69E-02			
13.32	5.04E-02			
13.33	4.80E-02			
13.34	3.47E-02			
13.35	2.60E-02			
13.36	2.96E-02			
13.37	3.92E-02			
13.38	4.38E-02			
13.39	3.79E-02			
13.4	2.45E-02			
13.41	1.25E-02			
13.42	8.73E-03			
13.43	1.07E-02			
13.44	8.06E-03			
13.45	-3.60E-03			
13.46	-1.53E-02			
13.47	-1.58E-02			
13.48	-7.57E-03			
13.49	-2.26E-03			
13.5	-2.14E-03			
13.51	4.89E-04			
13.52	7.82E-03			
13.53	1.09E-02			
13.54	4.21E-03			
13.55	-6.17E-03			
13.56	-1.45E-02			
13.57	-2.31E-02			
13.58	-3.24E-02			
13.59	-3.44E-02			
13.6	-2.43E-02			
13.61	-1.09E-02			
13.62	-3.05E-03			
13.63	4.03E-03			
13.64	1.87E-02			
13.65	3.57E-02			
13.66	4.32E-02			
13.67	4.27E-02			
13.68	4.49E-02			
13.69	5.10E-02			
13.7	5.20E-02			
13.71	4.78E-02			
13.72	4.77E-02			
13.73	5.20E-02			
13.74	4.86E-02			
13.75	3.37E-02			
13.76	1.98E-02			
13.77	1.76E-02			
13.78	2.24E-02			
13.79	2.56E-02			
13.8	2.82E-02			
13.81	3.35E-02			
13.82	3.98E-02			
13.83	4.52E-02			
13.84	5.16E-02			
13.85	5.80E-02			
13.86	5.86E-02			
13.87	5.56E-02			
13.88	6.02E-02			
13.89	7.41E-02			
13.9	8.36E-02			
13.91	8.18E-02			
13.92	8.15E-02			
13.93	9.20E-02			
13.94	9.65E-02			
13.95	7.44E-02			
13.96	3.53E-02			
13.97	9.10E-03			
13.98	4.34E-03			
13.99	1.77E-03			
14	-1.23E-02			
14.01	-2.86E-02			
14.02	-3.55E-02			
14.03	-3.78E-02			
14.04	-4.32E-02			
14.05	-4.73E-02			
14.06	-4.26E-02			
14.07	-3.30E-02			
14.08	-2.78E-02			
14.09	-2.86E-02			
14.1	-2.77E-02			
14.11	-1.64E-02			
14.12	7.70E-03			
14.13	3.50E-02			
14.14	4.34E-02			
14.15	1.87E-02			
14.16	-2.33E-02			
14.17	-4.77E-02			
14.18	-3.96E-02			
14.19	-1.91E-02			
14.2	-8.24E-03			
14.21	-2.44E-03			
14.22	1.39E-02			
14.23	3.66E-02			
14.24	4.56E-02			
14.25	3.17E-02			
14.26	2.50E-03			
14.27	-3.41E-02			
14.28	-7.08E-02			
14.29	-9.15E-02			
14.3	-8.13E-02			
14.31	-5.03E-02			
14.32	-2.54E-02			
14.33	-1.80E-02			
14.34	-1.39E-02			
14.35	-1.71E-03			
14.36	8.24E-03			
14.37	2.81E-03			
14.38	-1.19E-02			
14.39	-2.18E-02			
14.4	-2.54E-02			
14.41	-2.98E-02			
14.42	-3.41E-02			
14.43	-3.24E-02			
14.44	-2.72E-02			
14.45	-2.71E-02			
14.46	-3.08E-02			
14.47	-2.94E-02			
14.48	-2.01E-02			
14.49	-1.09E-02			
14.5	-7.02E-03			
14.51	-5.92E-03			
14.52	-3.66E-03			
14.53	1.28E-03			
14.54	1.05E-02			
14.55	2.27E-02			
14.56	3.03E-02			
14.57	3.00E-02			
14.58	3.49E-02			
14.59	6.06E-02			
14.6	9.78E-02			
14.61	1.14E-01			
14.62	9.14E-02			
14.63	5.04E-02			
14.64	1.84E-02			
14.65	-4.89E-03			
14.66	-3.71E-02			
14.67	-7.69E-02			
14.68	-1.01E-01			
14.69	-9.77E-02			
14.7	-8.24E-02			
14.71	-7.54E-02			
14.72	-7.57E-02			
14.73	-6.98E-02			
14.74	-5.51E-02			
14.75	-4.13E-02			
14.76	-3.34E-02			
14.77	-2.57E-02			
14.78	-1.33E-02			
14.79	-1.16E-03			
14.8	3.36E-03			
14.81	4.52E-03			
14.82	1.48E-02			
14.83	3.68E-02			
14.84	5.20E-02			
14.85	3.82E-02			
14.86	-2.39E-03			
14.87	-4.02E-02			
14.88	-4.96E-02			
14.89	-3.89E-02			
14.9	-3.67E-02			
14.91	-5.34E-02			
14.92	-7.02E-02			
14.93	-6.80E-02			
14.94	-5.28E-02			
14.95	-4.24E-02			
14.96	-3.76E-02			
14.97	-2.28E-02			
14.98	8.74E-03			
14.99	4.34E-02			
15	6.46E-02			
15.01	7.39E-02			
15.02	8.56E-02			
15.03	1.07E-01			
15.04	1.30E-01			
15.05	1.43E-01			
15.06	1.41E-01			
15.07	1.33E-01			
15.08	1.22E-01			
15.09	1.04E-01			
15.1	7.63E-02			
15.11	4.63E-02			
15.12	2.31E-02			
15.13	6.72E-03			
15.14	-9.16E-03			
15.15	-2.26E-02			
15.16	-2.29E-02			
15.17	-8.36E-03			
15.18	7.33E-03			
15.19	1.36E-02			
15.2	1.86E-02			
15.21	3.49E-02			
15.22	5.53E-02			
15.23	5.92E-02			
15.24	4.08E-02			
15.25	1.72E-02			
15.26	4.33E-03			
15.27	-5.51E-04			
15.28	-8.12E-03			
15.29	-1.74E-02			
15.3	-1.91E-02			
15.31	-1.12E-02			
15.32	-1.77E-03			
15.33	2.08E-03			
15.34	3.66E-04			
15.35	-4.76E-03			
15.36	-1.17E-02			
15.37	-1.79E-02			
15.38	-2.16E-02			
15.39	-2.46E-02			
15.4	-3.07E-02			
15.41	-4.05E-02			
15.42	-5.24E-02			
15.43	-6.47E-02			
15.44	-7.39E-02			
15.45	-7.32E-02			
15.46	-5.92E-02			
15.47	-3.96E-02			
15.48	-2.69E-02			
15.49	-2.29E-02			
15.5	-1.83E-02			
15.51	-7.26E-03			
15.52	4.28E-03			
15.53	9.28E-03			
15.54	9.71E-03			
15.55	1.13E-02			
15.56	1.42E-02			
15.57	1.65E-02			
15.58	2.23E-02			
15.59	3.45E-02			
15.6	4.48E-02			
15.61	3.77E-02			
15.62	9.04E-03			
15.63	-2.81E-02			
15.64	-5.56E-02			
15.65	-6.46E-02			
15.66	-5.68E-02			
15.67	-4.02E-02			
15.68	-2.45E-02			
15.69	-1.54E-02			
15.7	-8.49E-03			
15.71	5.19E-03			
15.72	2.57E-02			
15.73	4.12E-02			
15.74	4.15E-02			
15.75	3.07E-02			
15.76	1.88E-02			
15.77	8.91E-03			
15.78	-2.99E-03			
15.79	-1.70E-02			
15.8	-2.45E-02			
15.81	-1.83E-02			
15.82	-1.77E-03			
15.83	1.48E-02			
15.84	2.54E-02			
15.85	3.44E-02			
15.86	4.89E-02			
15.87	6.78E-02			
15.88	8.01E-02			
15.89	7.72E-02			
15.9	6.31E-02			
15.91	4.78E-02			
15.92	3.40E-02			
15.93	1.73E-02			
15.94	-1.65E-03			
15.95	-1.51E-02			
15.96	-1.96E-02			
15.97	-2.15E-02			
15.98	-2.54E-02			
15.99	-2.68E-02			
16	-2.13E-02			
16.01	-1.43E-02			
16.02	-1.15E-02			
16.03	-7.45E-03			
16.04	5.31E-03			
16.05	2.09E-02			
16.06	2.43E-02			
16.07	1.23E-02			
16.08	-3.18E-03			
16.09	-1.33E-02			
16.1	-2.23E-02			
16.11	-3.58E-02			
16.12	-4.78E-02			
16.13	-4.81E-02			
16.14	-3.72E-02			
16.15	-2.57E-02			
16.16	-1.95E-02			
16.17	-1.40E-02			
16.18	-2.07E-03			
16.19	1.25E-02			
16.2	1.76E-02			
16.21	7.08E-03			
16.22	-8.43E-03			
16.23	-1.17E-02			
16.24	7.97E-04			
16.25	1.61E-02			
16.26	2.31E-02			
16.27	2.73E-02			
16.28	3.84E-02			
16.29	5.35E-02			
16.3	6.09E-02			
16.31	5.82E-02			
16.32	5.29E-02			
16.33	4.92E-02			
16.34	4.37E-02			
16.35	3.68E-02			
16.36	3.54E-02			
16.37	4.21E-02			
16.38	5.12E-02			
16.39	5.86E-02			
16.4	6.69E-02			
16.41	7.41E-02			
16.42	6.93E-02			
16.43	4.70E-02			
16.44	1.78E-02			
16.45	-3.85E-03			
16.46	-1.76E-02			
16.47	-3.33E-02			
16.48	-5.34E-02			
16.49	-6.81E-02			
16.5	-6.80E-02			
16.51	-5.50E-02			
16.52	-3.91E-02			
16.53	-2.85E-02			
16.54	-2.30E-02			
16.55	-1.58E-02			
16.56	-2.99E-03			
16.57	9.47E-03			
16.58	1.18E-02			
16.59	1.71E-03			
16.6	-1.27E-02			
16.61	-2.50E-02			
16.62	-3.61E-02			
16.63	-4.71E-02			
16.64	-5.20E-02			
16.65	-4.61E-02			
16.66	-3.45E-02			
16.67	-2.63E-02			
16.68	-2.19E-02			
16.69	-1.43E-02			
16.7	-1.53E-03			
16.71	1.01E-02			
16.72	1.48E-02			
16.73	1.26E-02			
16.74	6.72E-03			
16.75	-2.46E-04			
16.76	-6.05E-03			
16.77	-9.22E-03			
16.78	-1.26E-02			
16.79	-2.06E-02			
16.8	-3.24E-02			
16.81	-3.98E-02			
16.82	-3.57E-02			
16.83	-2.24E-02			
16.84	-8.85E-03			
16.85	-1.21E-04			
16.86	7.02E-03			
16.87	1.81E-02			
16.88	3.19E-02			
16.89	4.23E-02			
16.9	4.77E-02			
16.91	5.35E-02			
16.92	6.19E-02			
16.93	6.56E-02			
16.94	5.83E-02			
16.95	4.49E-02			
16.96	3.40E-02			
16.97	2.08E-02			
16.98	-7.82E-03			
16.99	-4.90E-02			
17	-7.88E-02			
17.01	-7.97E-02			
17.02	-6.23E-02			
17.03	-4.90E-02			
17.04	-4.43E-02			
17.05	-3.66E-02			
17.06	-2.17E-02			
17.07	-7.39E-03			
17.08	3.54E-03			
17.09	1.80E-02			
17.1	3.52E-02			
17.11	4.18E-02			
17.12	3.02E-02			
17.13	1.42E-02			
17.14	1.19E-02			
17.15	2.37E-02			
17.16	3.49E-02			
17.17	3.61E-02			
17.18	3.19E-02			
17.19	2.85E-02			
17.2	2.63E-02			
17.21	2.33E-02			
17.22	2.06E-02			
17.23	1.99E-02			
17.24	2.06E-02			
17.25	2.02E-02			
17.26	1.73E-02			
17.27	1.12E-02			
17.28	2.50E-03			
17.29	-6.53E-03			
17.3	-1.51E-02			
17.31	-2.44E-02			
17.32	-3.45E-02			
17.33	-3.98E-02			
17.34	-3.50E-02			
17.35	-2.33E-02			
17.36	-1.43E-02			
17.37	-1.01E-02			
17.38	-3.24E-03			
17.39	9.59E-03			
17.4	1.77E-02			
17.41	9.46E-03			
17.42	-1.02E-02			
17.43	-2.43E-02			
17.44	-2.55E-02			
17.45	-2.36E-02			
17.46	-2.88E-02			
17.47	-3.74E-02			
17.48	-3.91E-02			
17.49	-3.24E-02			
17.5	-2.51E-02			
17.51	-2.21E-02			
17.52	-2.15E-02			
17.53	-2.02E-02			
17.54	-1.89E-02			
17.55	-1.87E-02			
17.56	-1.73E-02			
17.57	-1.20E-02			
17.58	-4.27E-03			
17.59	4.28E-04			
17.6	-2.32E-03			
17.61	-1.12E-02			
17.62	-1.93E-02			
17.63	-1.96E-02			
17.64	-1.21E-02			
17.65	-1.71E-03			
17.66	8.43E-03			
17.67	2.01E-02			
17.68	3.54E-02			
17.69	5.31E-02			
17.7	7.04E-02			
17.71	8.49E-02			
17.72	9.32E-02			
17.73	9.28E-02			
17.74	8.65E-02			
17.75	8.13E-02			
17.76	7.79E-02			
17.77	6.94E-02			
17.78	5.18E-02			
17.79	3.23E-02			
17.8	1.94E-02			
17.81	1.14E-02			
17.82	1.04E-03			
17.83	-1.13E-02			
17.84	-1.89E-02			
17.85	-1.91E-02			
17.86	-1.58E-02			
17.87	-1.20E-02			
17.88	-6.96E-03			
17.89	-1.83E-03			
17.9	1.71E-03			
17.91	5.74E-03			
17.92	1.36E-02			
17.93	2.14E-02			
17.94	2.15E-02			
17.95	1.29E-02			
17.96	2.81E-03			
17.97	-4.82E-03			
17.98	-1.30E-02			
17.99	-2.33E-02			
18	-3.31E-02			
18.01	-4.20E-02			
18.02	-5.33E-02			
18.03	-6.58E-02			
18.04	-7.18E-02			
18.05	-6.78E-02			
18.06	-5.94E-02			
18.07	-5.26E-02			
18.08	-4.67E-02			
18.09	-3.94E-02			
18.1	-3.17E-02			
18.11	-2.41E-02			
18.12	-1.44E-02			
18.13	-4.40E-03			
18.14	-1.28E-03			
18.15	-7.82E-03			
18.16	-1.80E-02			
18.17	-2.58E-02			
18.18	-3.28E-02			
18.19	-4.13E-02			
18.2	-4.70E-02			
18.21	-4.56E-02			
18.22	-4.02E-02			
18.23	-3.65E-02			
18.24	-3.47E-02			
18.25	-3.29E-02			
18.26	-3.26E-02			
18.27	-3.69E-02			
18.28	-4.40E-02			
18.29	-4.89E-02			
18.3	-5.04E-02			
18.31	-5.00E-02			
18.32	-4.81E-02			
18.33	-4.52E-02			
18.34	-4.32E-02			
18.35	-4.11E-02			
18.36	-3.64E-02			
18.37	-3.07E-02			
18.38	-2.86E-02			
18.39	-2.93E-02			
18.4	-2.59E-02			
18.41	-1.82E-02			
18.42	-1.45E-02			
18.43	-1.53E-02			
18.44	-6.53E-03			
18.45	2.01E-02			
18.46	5.13E-02			
18.47	6.88E-02			
18.48	7.40E-02			
18.49	8.05E-02			
18.5	8.92E-02			
18.51	8.89E-02			
18.52	8.01E-02			
18.53	7.58E-02			
18.54	7.77E-02			
18.55	6.99E-02			
18.56	4.51E-02			
18.57	1.89E-02			
18.58	7.82E-03			
18.59	6.96E-03			
18.6	1.65E-03			
18.61	-8.86E-03			
18.62	-1.31E-02			
18.63	-7.82E-03			
18.64	-1.16E-03			
18.65	1.04E-03			
18.66	2.69E-03			
18.67	7.08E-03			
18.68	1.09E-02			
18.69	1.09E-02			
18.7	1.03E-02			
18.71	1.37E-02			
18.72	2.00E-02			
18.73	2.32E-02			
18.74	2.06E-02			
18.75	1.45E-02			
18.76	7.82E-03			
18.77	9.15E-04			
18.78	-5.99E-03			
18.79	-9.71E-03			
18.8	-7.02E-03			
18.81	3.68E-04			
18.82	6.84E-03			
18.83	9.47E-03			
18.84	1.11E-02			
18.85	1.39E-02			
18.86	1.47E-02			
18.87	9.40E-03			
18.88	-6.11E-04			
18.89	-1.02E-02			
18.9	-1.65E-02			
18.91	-1.96E-02			
18.92	-1.87E-02			
18.93	-1.22E-02			
18.94	-9.75E-04			
18.95	9.89E-03			
18.96	1.61E-02			
18.97	1.61E-02			
18.98	1.04E-02			
18.99	3.64E-04			
19	-1.14E-02			
19.01	-2.25E-02			
19.02	-3.10E-02			
19.03	-3.50E-02			
19.04	-3.12E-02			
19.05	-2.06E-02			
19.06	-9.89E-03			
19.07	-5.56E-03			
19.08	-5.62E-03			
19.09	-4.03E-03			
19.1	1.23E-04			
19.11	2.69E-03			
19.12	2.26E-03			
19.13	2.50E-03			
19.14	4.82E-03			
19.15	6.41E-03			
19.16	5.98E-03			
19.17	6.53E-03			
19.18	9.65E-03			
19.19	1.28E-02			
19.2	1.39E-02			
19.21	1.50E-02			
19.22	1.78E-02			
19.23	2.08E-02			
19.24	2.24E-02			
19.25	2.38E-02			
19.26	2.64E-02			
19.27	2.91E-02			
19.28	3.10E-02			
19.29	3.28E-02			
19.3	3.51E-02			
19.31	3.71E-02			
19.32	3.95E-02			
19.33	4.38E-02			
19.34	4.81E-02			
19.35	4.75E-02			
19.36	4.02E-02			
19.37	3.08E-02			
19.38	2.41E-02			
19.39	1.91E-02			
19.4	1.18E-02			
19.41	1.71E-03			
19.42	-8.18E-03			
19.43	-1.39E-02			
19.44	-1.25E-02			
19.45	-4.21E-03			
19.46	5.31E-03			
19.47	8.73E-03			
19.48	2.87E-03			
19.49	-9.71E-03			
19.5	-2.57E-02			
19.51	-4.29E-02			
19.52	-5.75E-02			
19.53	-6.48E-02			
19.54	-6.44E-02			
19.55	-6.19E-02			
19.56	-6.01E-02			
19.57	-5.49E-02			
19.58	-4.23E-02			
19.59	-2.47E-02			
19.6	-6.77E-03			
19.61	1.11E-02			
19.62	2.76E-02			
19.63	3.55E-02			
19.64	2.83E-02			
19.65	1.15E-02			
19.66	-2.26E-03			
19.67	-6.47E-03			
19.68	-5.98E-03			
19.69	-7.27E-03			
19.7	-1.13E-02			
19.71	-1.62E-02			
19.72	-2.24E-02			
19.73	-3.13E-02			
19.74	-4.25E-02			
19.75	-5.17E-02			
19.76	-5.28E-02			
19.77	-4.19E-02			
19.78	-2.27E-02			
19.79	-5.31E-03			
19.8	3.11E-03			
19.81	5.37E-03			
19.82	7.94E-03			
19.83	1.20E-02			
19.84	1.42E-02			
19.85	1.48E-02			
19.86	1.73E-02			
19.87	2.21E-02			
19.88	2.58E-02			
19.89	2.83E-02			
19.9	3.29E-02			
19.91	3.89E-02			
19.92	3.99E-02			
19.93	3.14E-02			
19.94	1.66E-02			
19.95	8.52E-04			
19.96	-1.38E-02			
19.97	-2.61E-02			
19.98	-3.30E-02			
19.99	-3.28E-02			
20	-2.96E-02			
20.01	-2.83E-02			
20.02	-2.93E-02			
20.03	-3.01E-02			
20.04	-3.09E-02			
20.05	-3.30E-02			
20.06	-3.46E-02			
20.07	-3.21E-02			
20.08	-2.49E-02			
20.09	-1.61E-02			
20.1	-7.75E-03			
20.11	1.22E-03			
20.12	1.28E-02			
20.13	2.63E-02			
20.14	3.83E-02			
20.15	4.40E-02			
20.16	4.10E-02			
20.17	3.25E-02			
20.18	2.49E-02			
20.19	2.07E-02			
20.2	1.59E-02			
20.21	6.72E-03			
20.22	-4.09E-03			
20.23	-1.14E-02			
20.24	-1.56E-02			
20.25	-2.13E-02			
20.26	-2.94E-02			
20.27	-3.47E-02			
20.28	-3.22E-02			
20.29	-2.29E-02			
20.3	-1.13E-02			
20.31	-4.26E-04			
20.32	9.59E-03			
20.33	2.05E-02			
20.34	3.41E-02			
20.35	4.90E-02			
20.36	5.87E-02			
20.37	5.65E-02			
20.38	4.32E-02			
20.39	2.69E-02			
20.4	1.45E-02			
20.41	6.29E-03			
20.42	-6.73E-04			
20.43	-7.51E-03			
20.44	-1.37E-02			
20.45	-2.03E-02			
20.46	-2.75E-02			
20.47	-3.30E-02			
20.48	-3.47E-02			
20.49	-3.48E-02			
20.5	-3.64E-02			
20.51	-3.91E-02			
20.52	-4.04E-02			
20.53	-3.99E-02			
20.54	-4.10E-02			
20.55	-4.51E-02			
20.56	-4.98E-02			
20.57	-5.12E-02			
20.58	-4.89E-02			
20.59	-4.48E-02			
20.6	-4.14E-02			
20.61	-4.05E-02			
20.62	-4.15E-02			
20.63	-4.09E-02			
20.64	-3.58E-02			
20.65	-2.73E-02			
20.66	-1.90E-02			
20.67	-1.24E-02			
20.68	-5.80E-03			
20.69	8.56E-04			
20.7	4.46E-03			
20.71	2.63E-03			
20.72	-1.95E-03			
20.73	-5.19E-03			
20.74	-7.27E-03			
20.75	-1.15E-02			
20.76	-1.72E-02			
20.77	-1.87E-02			
20.78	-1.17E-02			
20.79	7.96E-04			
20.8	1.28E-02			
20.81	2.34E-02			
20.82	3.65E-02			
20.83	5.29E-02			
20.84	6.66E-02			
20.85	7.26E-02			
20.86	7.30E-02			
20.87	7.42E-02			
20.88	7.77E-02			
20.89	7.90E-02			
20.9	7.54E-02			
20.91	6.94E-02			
20.92	6.40E-02			
20.93	5.81E-02			
20.94	4.93E-02			
20.95	3.86E-02			
20.96	2.69E-02			
20.97	1.28E-02			
20.98	-4.46E-03			
20.99	-2.02E-02			
21	-2.94E-02			
21.01	-3.36E-02			
21.02	-3.91E-02			
21.03	-4.66E-02			
21.04	-5.02E-02			
21.05	-4.75E-02			
21.06	-4.36E-02			
21.07	-4.29E-02			
21.08	-4.24E-02			
21.09	-3.73E-02			
21.1	-2.81E-02			
21.11	-1.76E-02			
21.12	-5.31E-03			
21.13	9.71E-03			
21.14	2.42E-02			
21.15	3.46E-02			
21.16	4.34E-02			
21.17	5.39E-02			
21.18	6.16E-02			
21.19	5.85E-02			
21.2	4.60E-02			
21.21	3.46E-02			
21.22	2.89E-02			
21.23	2.33E-02			
21.24	1.28E-02			
21.25	1.77E-03			
21.26	-5.44E-03			
21.27	-1.38E-02			
21.28	-2.80E-02			
21.29	-4.16E-02			
21.3	-4.31E-02			
21.31	-3.16E-02			
21.32	-1.78E-02			
21.33	-8.36E-03			
21.34	1.24E-04			
21.35	1.22E-02			
21.36	2.58E-02			
21.37	3.80E-02			
21.38	4.90E-02			
21.39	5.95E-02			
21.4	6.53E-02			
21.41	6.34E-02			
21.42	5.65E-02			
21.43	4.93E-02			
21.44	4.21E-02			
21.45	3.18E-02			
21.46	1.87E-02			
21.47	6.17E-03			
21.48	-4.89E-03			
21.49	-1.69E-02			
21.5	-3.08E-02			
21.51	-4.41E-02			
21.52	-5.42E-02			
21.53	-6.23E-02			
21.54	-7.22E-02			
21.55	-8.45E-02			
21.56	-9.47E-02			
21.57	-9.64E-02			
21.58	-8.80E-02			
21.59	-7.51E-02			
21.6	-6.43E-02			
21.61	-5.45E-02			
21.62	-3.83E-02			
21.63	-1.42E-02			
21.64	8.86E-03			
21.65	2.29E-02			
21.66	3.15E-02			
21.67	4.40E-02			
21.68	6.00E-02			
21.69	6.86E-02			
21.7	6.26E-02			
21.71	4.90E-02			
21.72	3.92E-02			
21.73	3.65E-02			
21.74	3.58E-02			
21.75	3.38E-02			
21.76	3.17E-02			
21.77	2.97E-02			
21.78	2.50E-02			
21.79	1.54E-02			
21.8	1.89E-03			
21.81	-1.14E-02			
21.82	-2.02E-02			
21.83	-2.16E-02			
21.84	-1.61E-02			
21.85	-7.94E-03			
21.86	-1.53E-03			
21.87	3.30E-03			
21.88	1.01E-02			
21.89	1.97E-02			
21.9	2.91E-02			
21.91	3.58E-02			
21.92	4.16E-02			
21.93	4.94E-02			
21.94	5.74E-02			
21.95	6.00E-02			
21.96	5.41E-02			
21.97	4.29E-02			
21.98	3.20E-02			
21.99	2.39E-02			
22	1.68E-02			
22.01	8.00E-03			
22.02	-2.44E-03			
22.03	-1.22E-02			
22.04	-1.92E-02			
22.05	-2.39E-02			
22.06	-2.82E-02			
22.07	-3.30E-02			
22.08	-3.78E-02			
22.09	-4.18E-02			
22.1	-4.59E-02			
22.11	-5.07E-02			
22.12	-5.44E-02			
22.13	-5.41E-02			
22.14	-4.92E-02			
22.15	-4.31E-02			
22.16	-3.86E-02			
22.17	-3.51E-02			
22.18	-3.02E-02			
22.19	-2.42E-02			
22.2	-2.00E-02			
22.21	-1.87E-02			
22.22	-1.87E-02			
22.23	-1.78E-02			
22.24	-1.62E-02			
22.25	-1.44E-02			
22.26	-1.22E-02			
22.27	-8.73E-03			
22.28	-5.37E-03			
22.29	-2.69E-03			
22.3	1.22E-04			
22.31	3.91E-03			
